instance,submission,model_name,A,B,C,D,E,F,raw_total,total_score,evidence_confidence,caps_or_flags,resolved
astropy__astropy-13453,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,13,23,22,9,9,88,88,high,,True
astropy__astropy-13453,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,9,10,18,2,4,7,50,50,low,NO_BASELINE;NO_POST_FIX_TEST;PIPE_MASKED,True
astropy__astropy-13453,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12.0,13.0,24.0,10.0,9.0,9.0,77.0,77.0,medium,NO_BASELINE;PIPE_MASKED,True
astropy__astropy-13453,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,11,11,21,21,7,9,80,80,medium,,True
astropy__astropy-13453,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,4.0,6.0,0.0,0.0,0.5,0.0,10.5,10.5,low,EMPTY_PATCH;NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-13453,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,10.0,9.0,19.0,2.0,7.0,9.0,56.0,56.0,medium,NO_BASELINE;NO_POST_FIX_TEST,True
astropy__astropy-13453,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,10.5,12,15.5,2.5,6.5,8.5,55.5,55.5,medium,NO_BASELINE;NO_POST_FIX_TEST;PIPE_MASKED,False
astropy__astropy-13453,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,13,24,18,8,9,84,84,medium,NO_BASELINE,True
astropy__astropy-13453,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12,13,22,19,8,8,82,82,high,,True
astropy__astropy-13453,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11.5,14.0,23.0,19.0,8.5,9.0,85.0,85.0,medium,,True
astropy__astropy-13977,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,9,10,18.5,3,5.5,6,52,52,low,NO_BASELINE;NO_POST_FIX_TEST;PATCH_MISMATCH;ENV_CONTAMINATION,True
astropy__astropy-13977,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,4.5,5.0,3.0,2.0,3.0,0.5,18.0,18.0,low,NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-13977,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12,11,21,23,7.5,8,82.5,82.5,high,,False
astropy__astropy-13977,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,8.5,10.5,7.5,6.5,7.5,5.0,45.5,45.5,medium,PIPE_MASKED;NO_POST_FIX_TEST,False
astropy__astropy-13977,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,8.5,6.0,7.0,4.0,2.0,5.0,32.5,32.5,low,NO_BASELINE;NO_POST_FIX_TEST;WRONG_LAYER;MAIN_CASE_ONLY,True
astropy__astropy-13977,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,10,10,9,7,6,7,49,49,medium,MAIN_CASE_ONLY;NO_BASELINE,False
