[run] start 2026-09-09T04:58:32Z judge=deepseek-v4-flash conc=8 max_tokens=32768 force=--force
scoring 1000 pairs (judge_id=deepseek-v4-flash, backend=api deepseek-v4-flash @ https://api.deepseek.com/chat/completions, concurrency=8, timeout=300s)
  [25/1000] {'scored': 25, 'skipped': 0, 'missing_traj': 0, 'invalid': 0}
  [50/1000] {'scored': 50, 'skipped': 0, 'missing_traj': 0, 'invalid': 0}
  [75/1000] {'scored': 75, 'skipped': 0, 'missing_traj': 0, 'invalid': 0}
  [100/1000] {'scored': 100, 'skipped': 0, 'missing_traj': 0, 'invalid': 0}
  [125/1000] {'scored': 125, 'skipped': 0, 'missing_traj': 0, 'invalid': 0}
  [150/1000] {'scored': 150, 'skipped': 0, 'missing_traj': 0, 'invalid': 0}
  [175/1000] {'scored': 175, 'skipped': 0, 'missing_traj': 0, 'invalid': 0}
  [200/1000] {'scored': 200, 'skipped': 0, 'missing_traj': 0, 'invalid': 0}
  [225/1000] {'scored': 223, 'skipped': 0, 'missing_traj': 0, 'invalid': 2}
  [250/1000] {'scored': 247, 'skipped': 0, 'missing_traj': 0, 'invalid': 3}
  [275/1000] {'scored': 252, 'skipped': 0, 'missing_traj': 0, 'invalid': 23}
  [300/1000] {'scored': 252, 'skipped': 0, 'missing_traj': 0, 'invalid': 48}
  [325/1000] {'scored': 253, 'skipped': 0, 'missing_traj': 0, 'invalid': 72}
  [350/1000] {'scored': 253, 'skipped': 0, 'missing_traj': 0, 'invalid': 97}
  [375/1000] {'scored': 254, 'skipped': 0, 'missing_traj': 0, 'invalid': 121}
  [400/1000] {'scored': 254, 'skipped': 0, 'missing_traj': 0, 'invalid': 146}
  [425/1000] {'scored': 255, 'skipped': 0, 'missing_traj': 0, 'invalid': 170}
  [450/1000] {'scored': 255, 'skipped': 0, 'missing_traj': 0, 'invalid': 195}
  [475/1000] {'scored': 255, 'skipped': 0, 'missing_traj': 3, 'invalid': 217}
  [500/1000] {'scored': 255, 'skipped': 0, 'missing_traj': 5, 'invalid': 240}
  [525/1000] {'scored': 256, 'skipped': 0, 'missing_traj': 7, 'invalid': 262}
  [550/1000] {'scored': 256, 'skipped': 0, 'missing_traj': 7, 'invalid': 287}
  [575/1000] {'scored': 256, 'skipped': 0, 'missing_traj': 7, 'invalid': 312}
  [600/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 9, 'invalid': 334}
  [625/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 11, 'invalid': 357}
  [650/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 11, 'invalid': 382}
  [675/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 11, 'invalid': 407}
  [700/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 12, 'invalid': 431}
  [725/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 12, 'invalid': 456}
  [750/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 12, 'invalid': 481}
  [775/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 12, 'invalid': 506}
  [800/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 12, 'invalid': 531}
  [825/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 12, 'invalid': 556}
  [850/1000] {'scored': 257, 'skipped': 0, 'missing_traj': 12, 'invalid': 581}
  [875/1000] {'scored': 258, 'skipped': 0, 'missing_traj': 12, 'invalid': 605}
  [900/1000] {'scored': 259, 'skipped': 0, 'missing_traj': 12, 'invalid': 629}
  [925/1000] {'scored': 259, 'skipped': 0, 'missing_traj': 12, 'invalid': 654}
  [950/1000] {'scored': 259, 'skipped': 0, 'missing_traj': 12, 'invalid': 679}
  [975/1000] {'scored': 259, 'skipped': 0, 'missing_traj': 12, 'invalid': 704}
  [1000/1000] {'scored': 260, 'skipped': 0, 'missing_traj': 12, 'invalid': 728}
done: {'scored': 260, 'skipped': 0, 'missing_traj': 12, 'invalid': 728}
[run] done  rc=0 2026-09-09T06:08:47Z
