instance,submission,model_name,A,B,C,D,E,F,raw_total,total_score,evidence_confidence,caps_or_flags,resolved
astropy__astropy-13453,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,13,22,18,8,9,82,82,high,,True
astropy__astropy-13453,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,11,13,18,5,6,8,61,61,medium,NO_BASELINE;NO_POST_FIX_TEST,True
astropy__astropy-13453,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12.0,13.0,16.0,3.0,5.0,7.0,56.0,56.0,medium,NO_BASELINE;NO_POST_FIX_TEST,True
astropy__astropy-13453,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,13,14,22,18,8,9,84,84,high,,True
astropy__astropy-13453,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,8,10,0,0,0,0,18,18,high,EMPTY_PATCH,False
astropy__astropy-13453,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12.5,13,20.5,1,6.5,8.5,62,62,low,NO_BASELINE;NO_POST_FIX_TEST,True
astropy__astropy-13453,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,12.0,13.0,18.0,3.0,7.0,8.0,61.0,61.0,low,NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-13453,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,14,23,20,7,10,86,86,high,NO_BASELINE,True
astropy__astropy-13453,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,14,15,25,24,9,10,97,97,high,,True
astropy__astropy-13453,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,13,14,23,18,9,9,86,86,high,,True
astropy__astropy-13977,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11.0,12.0,16.0,5.0,5.0,8.0,57.0,57.0,medium,NO_BASELINE;NO_POST_FIX_TEST,True
astropy__astropy-13977,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,11,10,14,3,5,8,51,51,low,NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-13977,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,11,13,21,18,8,9,80,80,high,,False
astropy__astropy-13977,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,13,20,16,8,8,77,77,high,,False
astropy__astropy-13977,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,10,8,18,5,3,7,51,51,medium,NO_BASELINE;NO_POST_FIX_TEST,True
astropy__astropy-13977,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12.0,11.0,18.0,8.0,7.0,8.0,64.0,64.0,medium,NO_BASELINE,False
astropy__astropy-13977,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,9,8,11,1,3,6,38,38,low,NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-13977,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,13,21,16,8,9,79,79,high,,False
astropy__astropy-13977,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,14,13,22,20,8,10,87,87,high,,False
astropy__astropy-13977,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,13,13,20,18,9,9,82,82,high,,True
astropy__astropy-14182,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,10,11,22,13,5,9,70,70,medium,NO_BASELINE,True
astropy__astropy-14182,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,13,21,16,8,9,79,79,medium,NO_BASELINE,True
astropy__astropy-14182,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,11,13,22,20,8,9,83,83,high,,False
astropy__astropy-14182,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,10,12,18,3,5,8,56,56,medium,NO_POST_FIX_TEST,False
astropy__astropy-14182,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13,14,22,20,8,10,87,87,high,,True
astropy__astropy-14182,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,10,11,14,2,5,8,50,50,low,NO_BASELINE;NO_POST_FIX_TEST,True
astropy__astropy-14182,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,9,7,12,2,5,8,43,43,medium,NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-14182,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,13,14,23,22,9,9,90,90,high,,False
astropy__astropy-14182,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,13,14,22,18,8,9,84,84,high,,True
astropy__astropy-14182,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,12,14,22,18,9,10,85,85,high,,True
astropy__astropy-14365,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,13,14,23,16,9,10,85,85,medium,NO_BASELINE,False
astropy__astropy-14365,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,13,13,22,16,9,9,82,82,medium,NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-14365,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,11,13,22,12,10,10,78,78,medium,NO_BASELINE,True
astropy__astropy-14365,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,13,20,18,8,9,80,80,high,,True
astropy__astropy-14365,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,10,12,20,18,4,8,72,72,high,,False
astropy__astropy-14365,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,15,15,25,25,10,10,100,100,high,,False
astropy__astropy-14365,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,11,12,20,8,8,8,67,67,medium,NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-14365,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11.0,13.0,20.0,14.0,7.0,9.0,74.0,74.0,medium,NO_POST_FIX_TEST,False
astropy__astropy-14365,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,14,14,24,22,9,10,93,93,high,,True
astropy__astropy-14365,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11,14,23,19,10,10,87,87,high,,True
django__django-10973,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,10,10,19,9,9,8,65,65,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-10973,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12.0,13.0,22.0,14.0,8.0,9.0,78,78,medium,NO_BASELINE,True
django__django-10973,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12,10,14,4,8,9,57,57,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-10973,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,10,20,8,7,8,65,65,medium,NO_POST_FIX_TEST,True
django__django-10973,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,10,10,15,8,4,7,54,54,high,KNOWN_COUNTEREXAMPLE,False
django__django-10973,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,11,13,22,14,9,10,79,79,medium,NO_BASELINE,False
django__django-10973,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,9.0,10.0,14.0,6.0,7.0,7.0,53.0,53.0,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-10973,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12.0,11.0,18.0,10.0,7.0,8.0,66.0,66.0,medium,NO_BASELINE,False
django__django-10973,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,11,10,18,8,7,9,63,63,medium,NO_BASELINE,True
django__django-10973,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11,13,19,15,9,9,76,76,medium,,False
django__django-11138,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,13,14,23,18,9,10,87,87,high,,True
django__django-11138,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,13,18,5,6,8,62,62,medium,NO_POST_FIX_TEST,False
django__django-11138,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,13,14,23,20,9,9,88,88,high,,True
django__django-11138,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,10,11,18,8,6,6,59,59,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-11138,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,14,15,24,22,9,10,94,94,high,,True
django__django-11138,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,11,13,20,6,8,9,67,67,medium,NO_POST_FIX_TEST,True
django__django-11138,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,10,11,16,2,7,8,54,54,medium,NO_POST_FIX_TEST;NO_BASELINE,False
django__django-11138,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11.0,13.0,19.0,16.0,8.0,9.0,76.0,76.0,medium,,True
django__django-11138,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,13,14,22,18,9,10,86,86,high,NO_BASELINE,False
django__django-11138,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,10,11,17,10,8,9,65,65,medium,NO_BASELINE,True
django__django-11265,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,13,20,18,7,8,78,78,high,,False
django__django-11265,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,13,22,17,8,9,81,81,high,,False
django__django-11265,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10,12,16,10,8,9,65,65,medium,NO_BASELINE,False
django__django-11265,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,13,14,22,18,8,10,85,85,high,,False
django__django-11265,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13,14,22,23,9,9,90,90,high,,True
django__django-11265,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12,14,21,17,9,9,82,82,high,,True
django__django-11265,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,7,9,14,3,7,8,48,48,medium,NO_POST_FIX_TEST,False
django__django-11265,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,14,22,20,7,9,84,84,high,,True
django__django-11265,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12.5,13,22.5,21,8.5,9.5,87,87,high,,False
django__django-11265,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,8,10,14,12,5,6,55,55,high,,True
django__django-11433,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,14,21,19,9,9,84,84,high,,True
django__django-11433,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,13,14,22,22,9,10,90,90,high,,True
django__django-11433,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,15,15,25,25,10,10,100,100,high,,True
django__django-11433,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,11,12,19,16,7,8,73,73,medium,,False
django__django-11433,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,12,11,21,19,7,8,78,78,high,,False
django__django-11433,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,11,12,18,14,8,9,72,72,medium,,True
django__django-11433,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,8,10,15,3,6,8,50,50,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-11433,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,14,14,23,24,10,10,95,95,high,,False
django__django-11433,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,10,12,16,18,8,8,72,72,high,MAIN_CASE_ONLY,False
django__django-11433,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11,12,14,12,8,7,64,64,medium,,False
django__django-11532,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12.0,13.0,21.0,20.0,8.0,9.0,83.0,83.0,high,,True
django__django-11532,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,15,15,25,25,10,10,100,100,high,,False
django__django-11532,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12,12,22,21,7,10,84,84,high,,True
django__django-11532,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,13,20,16,8,9,78,78,high,,True
django__django-11532,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,14,15,24,23,9,10,95,95,high,,True
django__django-11532,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12.0,13.0,21.0,16.0,9.0,9.0,80,80,high,NO_BASELINE,True
django__django-11532,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,10.0,12.0,20.0,8.0,8.0,9.0,67.0,67.0,medium,NO_BASELINE,False
django__django-11532,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,13,14,23,20,9,10,89,89,high,,True
django__django-11532,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,14,14,24,23,9,10,94,94,high,,True
django__django-11532,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,13,14,22,16,9,10,84,84,high,NO_BASELINE,True
django__django-11728,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11,13,22,16,9,9,80,80,high,,True
django__django-11728,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,13.5,14,23,19,9,9,87.5,87.5,high,,True
django__django-11728,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,13,14,22,18,9,10,86,86,high,,True
django__django-11728,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,13,20,16,7,7,75,75,high,,True
django__django-11728,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,14,14,23,20,7,9,87,87,high,,True
django__django-11728,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,14,14,23,18,10,10,89,89,high,,True
django__django-11728,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,10.0,13.0,18.0,10.0,8.0,8.0,67.0,67.0,medium,NO_BASELINE,False
django__django-11728,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,14,23,20,9,10,88,88,high,,False
django__django-11728,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12,14,22,16,9,10,83,83,medium,NO_BASELINE,False
django__django-11728,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,12.5,14,22,18,9,10,85.5,85.5,high,,True
django__django-11815,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,13,14,22,12,9,9,79,79,high,,False
django__django-11815,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,14,14,23,18,9,9,87,87,high,,True
django__django-11815,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,13.5,14,22,18,9,10,86.5,86.5,high,,True
django__django-11815,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,13,20,18,7,8,78,78,high,,False
django__django-11815,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,12,14,21,15,4,9,75,75,high,NO_BASELINE,True
django__django-11815,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12,14,22,10,9,9,76,76,medium,NO_BASELINE,True
django__django-11815,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,8,7,16,2,5,7,45,45,low,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-11815,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,13,14,18,18,9,4,76,76,high,UNRELATED_CHANGES,True
django__django-11815,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12.0,13.0,20.0,14.0,8.0,9.0,76.0,76.0,high,NO_BASELINE,True
django__django-11815,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,6,10,8,3,4,5,36,36,high,NO_POST_FIX_TEST;KNOWN_COUNTEREXAMPLE,False
django__django-11964,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,13,22,18,9,9,83,83,high,,True
django__django-11964,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,13,20,16,8,8,77,77,medium,,False
django__django-11964,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,13,14,23,20,9,10,89,89,high,,False
django__django-11964,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,13,14,22,20,9,9,87,87,high,,True
django__django-11964,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,12,10,20,17,4,8,71,71,high,,False
django__django-11964,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,11,11,21,9,7,8,67,67,medium,NO_BASELINE,True
django__django-11964,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,10.0,8.0,14.0,2.0,5.0,8.0,47.0,47.0,low,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-11964,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,13,18,16,7,8,74,74,high,,False
django__django-11964,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,14,14,23,22,9,9,91,91,high,,False
django__django-11964,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,10,12,20,8,8,8,66,66,medium,NO_BASELINE,True
django__django-12125,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,14,15,24,23,9,10,95,95,high,,True
django__django-12125,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,14,14,23,20,9,10,90,90,high,,True
django__django-12125,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,13,14,23,20,9,10,89,89,high,,True
django__django-12125,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,13,14,22,20,9,9,87,87,high,,True
django__django-12125,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13,14,22,20,9,9,87,87,high,,True
django__django-12125,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12,14,20,11,9,9,75,75,medium,NO_POST_FIX_TEST,True
django__django-12125,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,10,9,3,3,4,2,31,31,high,PATCH_MISMATCH;NO_BASELINE;NO_POST_FIX_TEST,False
django__django-12125,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11.0,13.0,20.0,16.0,8.0,9.0,77,77,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-12125,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12,14,22,18,9,9,84,84,high,,True
django__django-12125,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,12,14,21,18,9,9,83,83,high,,True
django__django-12663,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11,13,22,16,9,9,80,80,high,NO_BASELINE,False
django__django-12663,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,13,14,22,20,9,9,87,87,high,,False
django__django-12663,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,8,9,10,5,5,4,41,41,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-12663,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,14,14,23,20,9,9,89,89,high,,True
django__django-12663,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13,13,20,16,5,8,75,75,medium,,True
django__django-12663,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,10,11,14,6,7,8,56,56,medium,NO_BASELINE;MAIN_CASE_ONLY,True
django__django-12663,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,7.0,8.0,10.0,2.0,5.0,6.0,38.0,38.0,low,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-12663,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11,12,18,16,8,9,74,74,high,,True
django__django-12663,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,11,13,20,18,8,9,79,79,high,,True
django__django-12663,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,10,12,16,12,7,8,65,65,medium,,True
django__django-13023,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12.0,14.0,23.0,18.0,9.0,10.0,86.0,86.0,high,,True
django__django-13023,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12.5,14,23,21,9,9,88.5,88.5,high,,True
django__django-13023,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10,12,18,9,8,9,66,66,medium,,True
django__django-13023,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,14,22,18,9,9,84,84,high,,True
django__django-13023,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,14,14,24,20,9,10,91,91,high,,True
django__django-13023,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,11,13,21,10,8,9,72,72,high,NO_BASELINE,False
django__django-13023,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,9.0,7.0,16.0,3.0,5.0,8.0,48.0,48.0,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13023,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,14,14,23,22,9,10,92,92,high,,True
django__django-13023,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,14,14,24,22,9,10,93,93,high,,True
django__django-13023,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,13,14,23,18,9,10,87,87,high,,True
django__django-13112,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,14,15,24,23,9,10,95,95,high,,True
django__django-13112,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,13,14,22,18,9,9,85,85,high,NO_BASELINE,True
django__django-13112,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,13,14,23,22,9,9,90,90,high,,True
django__django-13112,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,14,21,17,9,9,82,82,high,,False
django__django-13112,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13,14,23,20,9,9,88,88,high,,True
django__django-13112,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12,14,22,14,9,9,80,80,high,,True
